name,最終型態,最終幫忙間隔(秒),fruit,type,技能,最終進化階段,格子,食材1,食材1數量
寶寶丁,胖可丁,2900,桃桃果,技能型,活力全體療癒S,3,23,甜甜蜜,1
胖丁,胖可丁,2900,桃桃果,技能型,活力全體療癒S,3,23,甜甜蜜,1
胖可丁,胖可丁,2900,桃桃果,技能型,活力全體療癒S,3,23,甜甜蜜,1
地鼠,三地鼠,2800,勿花果,食材型,能量填充S,2,21,好眠番茄,2
三地鼠,三地鼠,2800,勿花果,食材型,能量填充S,2,21,好眠番茄,2
喵喵,貓老大,3000,柿仔果,技能型,夢之碎片獲取S,2,17,哞哞鮮奶,1
貓老大,貓老大,3000,柿仔果,技能型,夢之碎片獲取S,2,17,哞哞鮮奶,1
可達鴨,哥達鴨,3400,橙橙果,技能型,能量填充Sn,2,16,放鬆可可,1
哥達鴨,哥達鴨,3400,橙橙果,技能型,能量填充Sn,2,16,放鬆可可,1
猴怪,火爆猴,2800,櫻子果,樹果型,能量填充Sn,2,22,豆製肉,1
火爆猴,火爆猴,2800,櫻子果,樹果型,能量填充Sn,2,22,豆製肉,1
卡蒂狗,風速狗,2500,蘋野果,技能型,幫手支援S,2,21,火辣香草,1
風速狗,風速狗,2500,蘋野果,技能型,幫手支援S,2,21,火辣香草,1
喇叭芽,大食花,2800,金枕果,食材型,活力填充S,3,27,好眠番茄,2
口呆花,大食花,2800,金枕果,食材型,活力填充S,3,27,好眠番茄,2
大食花,大食花,2800,金枕果,食材型,活力填充S,3,27,好眠番茄,2
小拳石,隆隆岩,3100,文柚果,食材型,能量填充Sn,3,26,萌綠大豆,2
隆隆石,隆隆岩,3100,文柚果,食材型,能量填充Sn,3,26,萌綠大豆,2
隆隆岩,隆隆岩,3100,文柚果,食材型,能量填充Sn,3,26,萌綠大豆,2
呆呆獸,呆呆王,3400,橙橙果,技能型,活力療癒S,2,16,放鬆可可,1
呆殼獸,呆殼獸,3800,橙橙果,技能型,活力療癒S,2,15,放鬆可可,1
呆呆王,呆呆王,3400,橙橙果,技能型,活力療癒S,2,16,放鬆可可,1
小磁怪,自爆磁怪,3100,靛莓果,技能型,料理強化S,3,23,純粹油,1
三合一磁怪,自爆磁怪,3100,靛莓果,技能型,料理強化S,3,23,純粹油,1
自爆磁怪,自爆磁怪,3100,靛莓果,技能型,料理強化S,3,23,純粹油,1
嘟嘟,嘟嘟利,2400,椰木果,樹果型,活力填充S,2,26,萌綠大豆,1
嘟嘟利,嘟嘟利,2400,椰木果,樹果型,活力填充S,2,26,萌綠大豆,1
鬼斯,耿鬼,2200,墨莓果,食材型,能量填充Sn,3,28,火辣香草,2
鬼斯通,耿鬼,2200,墨莓果,食材型,能量填充Sn,3,28,火辣香草,2
耿鬼,耿鬼,2200,墨莓果,食材型,能量填充Sn,3,28,火辣香草,2
卡拉卡拉,嘎啦嘎啦,3500,勿花果,樹果型,活力填充S,2,20,暖暖薑,1
嘎啦嘎啦,嘎啦嘎啦,3500,勿花果,樹果型,活力填充S,2,20,暖暖薑,1
袋獸,袋獸,2800,柿仔果,食材型,食材獲取S,1,16,暖暖薑,2
凱羅斯,凱羅斯,2400,木子果,食材型,能量填充S,1,19,甜甜蜜,2
百變怪,百變怪,3500,柿仔果,食材型,能量填充Sn,1,13,純粹油,2
伊布,仙子伊布,2600,桃桃果,技能型,活力全體療癒S,2,20,哞哞鮮奶,1
仙子伊布,仙子伊布,2600,桃桃果,技能型,活力全體療癒S,2,20,哞哞鮮奶,1
水伊布,水伊布,3100,橙橙果,技能型,食材獲取S,2,18,哞哞鮮奶,1
雷伊布,雷伊布,2200,萄葡果,技能型,幫手支援S,2,22,哞哞鮮奶,1
火伊布,火伊布,2700,蘋野果,技能型,料理強化S,2,19,哞哞鮮奶,1
太陽伊布,太陽伊布,2400,芒芒果,技能型,能量填充M,2,21,哞哞鮮奶,1
月亮伊布,月亮伊布,3200,異奇果,技能型,活力填充S,2,19,哞哞鮮奶,1
葉伊布,葉伊布,3000,金枕果,技能型,活力療癒S,2,18,哞哞鮮奶,1
冰伊布,冰伊布,3200,莓莓果,技能型,料理強化S,2,17,哞哞鮮奶,1
菊草葉,大竺葵,2800,金枕果,樹果型,能量填充Sn,3,30,放鬆可可,1
月桂葉,大竺葵,2800,金枕果,樹果型,能量填充Sn,3,30,放鬆可可,1
大竺葵,大竺葵,2800,金枕果,樹果型,能量填充Sn,3,30,放鬆可可,1
火球鼠,火爆獸,2400,蘋野果,樹果型,能量填充Sn,3,33,暖暖薑,1
火岩鼠,火爆獸,2400,蘋野果,樹果型,能量填充Sn,3,33,暖暖薑,1
火爆獸,火爆獸,2400,蘋野果,樹果型,能量填充Sn,3,33,暖暖薑,1
小鋸鱷,大力鱷,2800,橙橙果,樹果型,能量填充Sn,3,29,豆製肉,1
藍鱷,大力鱷,2800,橙橙果,樹果型,能量填充Sn,3,29,豆製肉,1
大力鱷,大力鱷,2800,橙橙果,樹果型,能量填充Sn,3,29,豆製肉,1
波克比,波克基斯,2600,桃桃果,技能型,揮指,3,26,特選蛋,1
波克基古,波克基斯,2600,桃桃果,技能型,揮指,3,26,特選蛋,1
波克基斯,波克基斯,2600,桃桃果,技能型,揮指,3,26,特選蛋,1
咩利羊,電龍,2500,萄葡果,技能型,能量填充M,3,25,火辣香草,1
茸茸羊,電龍,2500,萄葡果,技能型,能量填充M,3,25,火辣香草,1
電龍,電龍,2500,萄葡果,技能型,能量填充M,3,25,火辣香草,1
盆才怪,樹才怪,4000,文柚果,技能型,能量填充M,2,15,好眠番茄,1
樹才怪,樹才怪,4000,文柚果,技能型,能量填充M,2,15,好眠番茄,1
小果然,果然翁,3500,芒芒果,技能型,活力療癒S,2,15,特選蘋果,1
果然翁,果然翁,3500,芒芒果,技能型,活力療癒S,2,15,特選蘋果,1
赫拉克羅斯,赫拉克羅斯,2500,木子果,技能型,食材獲取S,1,15,甜甜蜜,1
戴魯比,黑魯加,3300,異奇果,樹果型,能量填充S,2,21,火辣香草,1
黑魯加,黑魯加,3300,異奇果,樹果型,能量填充S,2,21,火辣香草,1
幼基拉斯,班基拉斯,2700,異奇果,食材型,活力填充S,3,29,暖暖薑,2
沙基拉斯,班基拉斯,2700,異奇果,食材型,活力填充S,3,29,暖暖薑,2
班基拉斯,班基拉斯,2700,異奇果,食材型,活力填充S,3,29,暖暖薑,2
懶人獺,過動猿,3200,柿仔果,樹果型,食材獲取S,3,17,好眠番茄,1
過動猿,過動猿,3200,柿仔果,樹果型,食材獲取S,3,17,好眠番茄,1
請假王,過動猿,3200,柿仔果,樹果型,食材獲取S,3,22,好眠番茄,1
勾魂眼,勾魂眼,3600,異奇果,技能型,夢之碎片獲取Sn,1,10,純粹油,1
溶食獸,吞食獸,3500,零餘果,技能型,夢之碎片獲取Sn,2,18,萌綠大豆,1
吞食獸,吞食獸,3500,零餘果,技能型,夢之碎片獲取Sn,2,18,萌綠大豆,1
青綿鳥,七夕青鳥,3700,番荔果,樹果型,活力填充S,2,19,特選蛋,1
七夕青鳥,七夕青鳥,3700,番荔果,樹果型,活力填充S,2,19,特選蛋,1
阿勃梭魯,阿勃梭魯,3100,異奇果,食材型,能量填充S,1,14,放鬆可可,2
海豹球,帝牙海獅,3000,莓莓果,樹果型,食材獲取S,3,28,純粹油,1
海魔獅,帝牙海獅,3000,莓莓果,樹果型,食材獲取S,3,28,純粹油,1
帝牙海獅,帝牙海獅,3000,莓莓果,樹果型,食材獲取S,3,28,純粹油,1
利歐路,路卡利歐,2700,櫻子果,技能型,夢之碎片獲取S,2,19,純粹油,1
路卡利歐,路卡利歐,2700,櫻子果,技能型,夢之碎片獲取S,2,19,純粹油,1
不良蛙,毒骷蛙,3400,零餘果,食材型,能量填充S,2,19,純粹油,2
毒骷蛙,毒骷蛙,3400,零餘果,食材型,能量填充S,2,19,純粹油,2
魔尼尼,魔牆人偶,2800,芒芒果,食材型,能量填充S,2,22,好眠番茄,2
魔牆人偶,魔牆人偶,2800,芒芒果,食材型,能量填充S,2,22,好眠番茄,2
皮寶寶,皮可西,2800,桃桃果,樹果型,揮指,3,34,特選蘋果,1
皮皮,皮可西,2800,桃桃果,樹果型,揮指,3,34,特選蘋果,1
皮可西,皮可西,2800,桃桃果,樹果型,揮指,3,34,特選蘋果,1
怨影娃娃,詛咒娃娃,2600,墨莓果,樹果型,能量填充Sn,2,24,純粹油,1
詛咒娃娃,詛咒娃娃,2600,墨莓果,樹果型,能量填充Sn,2,24,純粹油,1
大岩蛇,大鋼蛇,3000,靛莓果,樹果型,食材獲取S,2,30,好眠番茄,1
大鋼蛇,大鋼蛇,3000,靛莓果,樹果型,食材獲取S,2,30,好眠番茄,1
信使鳥,信使鳥,2500,椰木果,食材型,食材獲取S,1,20,特選蛋,2
雪笠怪,暴雪王,3000,莓莓果,食材型,能量填充Sn,2,26,好眠番茄,2
暴雪王,暴雪王,3000,莓莓果,食材型,能量填充Sn,2,26,好眠番茄,2
童偶熊,穿著熊,2800,櫻子果,食材型,能量填充Sn,2,25,萌綠玉米,2
穿著熊,穿著熊,2800,櫻子果,食材型,能量填充Sn,2,25,萌綠玉米,2
迷你龍,快龍,2600,番荔果,食材型,活力填充S,3,30,火辣香草,2
哈克龍,快龍,2600,番荔果,食材型,活力填充S,3,30,火辣香草,2
快龍,快龍,2600,番荔果,食材型,活力填充S,3,30,火辣香草,2
拉魯拉絲,沙奈朵,2400,芒芒果,技能型,活力全體療癒S,3,28,特選蘋果,1
奇魯莉安,沙奈朵,2400,芒芒果,技能型,活力全體療癒S,3,28,特選蘋果,1
沙奈朵,沙奈朵,2400,芒芒果,技能型,活力全體療癒S,3,28,特選蘋果,1
艾路雷朵,艾路雷朵,2400,櫻子果,技能型,幫手支援S,3,29,特選蘋果,1
新葉喵,魔幻假面喵,4600,金枕果,食材型,料理強化S,3,28,窩心洋芋,1
烏波,沼王,,橙橙果,食材型,活力填充S,2,,品鮮蘑菇,1
沼王,沼王,,橙橙果,食材型,活力填充S,2,,品鮮蘑菇,1
黑暗鴉,烏鴉頭頭,,奇異果,技能型,超幸運（食材精選S）,2,,醒腦咖啡豆,1
烏鴉頭頭,烏鴉頭頭,,奇異果,技能型,超幸運（食材精選S）,2,,醒腦咖啡豆,1
狃拉,瑪狃拉,,奇異果,樹果型,料理成功S,2,,豆製肉,1
瑪狃拉,瑪狃拉,,奇異果,樹果型,料理成功S,2,,豆製肉,1
幸福蛋,幸福蛋,,柿仔果,食材型,活力全體療愈S,1,,特選蛋,1
雷公,雷公,,萄葡果,技能型,幫手加速（電）,1,,豆製肉,1
炎帝,炎帝,,蘋野果,技能型,幫手加速（火）,1,,純粹油,1
水君,水君,,橙橙果,技能型,幫手加速（水）,1,,特選蘋果,1
